,Fold,Model,Random State,Random Permutation Number,Thresholds,Number of Removed Features,Balanced ACC,AUC,F1,Specificity,Sensitivity,Recall
120,0,ICU model (LG+imputed) Train,False,0,0.19,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
121,0,ICU model (LG+imputed) Train,False,0,0.2,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
122,0,ICU model (LG+imputed) Train,False,0,0.21,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
123,0,ICU model (LG+imputed) Train,False,0,0.22,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
124,0,ICU model (LG+imputed) Train,False,0,0.23,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
125,0,ICU model (LG+imputed) Train,False,0,0.24,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
126,0,ICU model (LG+imputed) Train,False,0,0.25,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
127,0,ICU model (LG+imputed) Train,False,0,0.26,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
128,0,ICU model (LG+imputed) Train,False,0,0.27,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
129,0,ICU model (LG+imputed) Train,False,0,0.28,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
130,0,ICU model (LG+imputed) Train,False,0,0.29,0,0.5,0.7401315789473684,0.45714285714285713,0.0,1.0,1.0
131,0,ICU model (LG+imputed) Train,False,0,0.3,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
132,0,ICU model (LG+imputed) Train,False,0,0.31,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
133,0,ICU model (LG+imputed) Train,False,0,0.32,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
134,0,ICU model (LG+imputed) Train,False,0,0.33,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
135,0,ICU model (LG+imputed) Train,False,0,0.34,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
136,0,ICU model (LG+imputed) Train,False,0,0.35000000000000003,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
137,0,ICU model (LG+imputed) Train,False,0,0.36,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
138,0,ICU model (LG+imputed) Train,False,0,0.37,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
139,0,ICU model (LG+imputed) Train,False,0,0.38,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
140,0,ICU model (LG+imputed) Train,False,0,0.39,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
141,0,ICU model (LG+imputed) Train,False,0,0.4,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
142,0,ICU model (LG+imputed) Train,False,0,0.41000000000000003,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
143,0,ICU model (LG+imputed) Train,False,0,0.42,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
144,0,ICU model (LG+imputed) Train,False,0,0.43,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
145,0,ICU model (LG+imputed) Train,False,0,0.44,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
146,0,ICU model (LG+imputed) Train,False,0,0.45,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
147,0,ICU model (LG+imputed) Train,False,0,0.46,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
148,0,ICU model (LG+imputed) Train,False,0,0.47000000000000003,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
149,0,ICU model (LG+imputed) Train,False,0,0.48,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
150,0,ICU model (LG+imputed) Train,False,0,0.49,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
151,0,ICU model (LG+imputed) Train,False,0,0.5,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
152,0,ICU model (LG+imputed) Train,False,0,0.51,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
153,0,ICU model (LG+imputed) Train,False,0,0.52,0,0.5,0.7401315789473684,0.0,1.0,0.0,0.0
